"","x"
"Sensitivity",0.402597402597403
"Specificity",0.902731512325117
"Pos Pred Value",0.597796143250689
"Neg Pred Value",0.80799045915325
"Precision",0.597796143250689
"Recall",0.402597402597403
"F1",0.481152993348115
"Prevalence",0.26421568627451
"Detection Rate",0.106372549019608
"Detection Prevalence",0.177941176470588
"Balanced Accuracy",0.65266445746126
