"","x"
"Sensitivity",0.374768089053803
"Specificity",0.922051965356429
"Pos Pred Value",0.633228840125392
"Neg Pred Value",0.804183614177804
"Precision",0.633228840125392
"Recall",0.374768089053803
"F1",0.470862470862471
"Prevalence",0.26421568627451
"Detection Rate",0.0990196078431373
"Detection Prevalence",0.156372549019608
"Balanced Accuracy",0.648410027205116
