"","ncomp","RMSE","Rsquared","MAE","RMSESD","RsquaredSD","MAESD"
"1",1,6.59792634315053,0.0341380849944945,5.70762246626497,0.040584946405216,0.0113397399070015,0.0368982144776153
"2",2,6.58488453969847,0.0379709970999887,5.69380556441607,0.041886697282167,0.0115611356988387,0.0394221977303688
"3",3,6.52713537257278,0.0550329738270804,5.58919686780704,0.0560890807074771,0.0163303143222312,0.0460697090156939
"4",4,6.52705396324382,0.0550500977143648,5.58924119779965,0.0563196142823323,0.0163459995600737,0.0464791994025351
"5",5,6.50195839381905,0.0622280823534025,5.54671359566483,0.0570961381767351,0.0178933607346614,0.0538547562703086
"6",6,6.46559418684207,0.0727968695917181,5.48256799399725,0.0620490469610967,0.0194472529447451,0.0556060795537478
"7",7,6.39704983413838,0.0921997770547254,5.38617658125486,0.0659637556012438,0.0206280145660462,0.067086048367855
"8",8,6.33538433857441,0.109623655940085,5.27926387137344,0.0730622844166686,0.0221258523076016,0.0665013519511056
"9",9,6.31454473373713,0.115419759029413,5.23848253264631,0.0754621840566072,0.0226604049485142,0.0636269277406697
"10",10,5.97926004202633,0.207174319913892,4.84654861078951,0.105965056755427,0.0276388747623331,0.0872751442600869
"11",11,5.97871149362603,0.207370804661999,4.84661529037886,0.108584272561836,0.0282288604560602,0.0863262789908435
"12",12,5.91546879438167,0.223925466327561,4.82051410924439,0.105223627480602,0.0279384416554758,0.0810037217982607
"13",13,5.89524560004624,0.229336737691657,4.8238085225759,0.108148495572289,0.0287955538411996,0.0860928731192025
"14",14,5.88615537942247,0.231759133413342,4.79859965989617,0.109398761752257,0.0286928335695799,0.0857322666887672
"15",15,5.88201473003496,0.232806958977469,4.79319308103952,0.108219170088009,0.0284806106363474,0.0869129633656102
